index,input,match,non_exact,street,coordinate,tiger,lr
"17234","6636  SEMINOLE DR  FAIRFIELD, Jefferson County, AL, 350641130","Match","Non_Exact","6636 SEMINOLE DR, FAIRFIELD, AL, 35064","-86.92691455199997,33.47164924300006","81555966","R"
"18565","707  CLAYTON RD  HUEYTOWN, Jefferson County, AL, 350231121","Match","Non_Exact","707 CLAYTON RD, BESSEMER, AL, 35023","-87.01007815499997,33.46723650400003","81545979","R"
"17235","329  CHURCH ST  FAIRFIELD, Jefferson County, AL, 350641750","Match","Non_Exact","329 CHURCH ST, FAIRFIELD, AL, 35064","-86.92650898199997,33.46948013700006","81556029","L"
"18566","3269 , Jefferson County, AL, 350231453","No_Match"
"17236","401  CHURCH ST  FAIRFIELD, Jefferson County, AL, 35064","Match","Non_Exact","401 CHURCH ST, FAIRFIELD, AL, 35064","-86.92582656399998,33.46915070500006","81556172","L"
"18567","3255 , Jefferson County, AL, 350231462","No_Match"
"18560","6817  WARRIOR RIVER RD  BESSEMER, Jefferson County, AL, 350235601","Match","Non_Exact","6817 WARRIOR RIVER RD, BESSEMER, AL, 35023","-87.07141160499998,33.48110659500003","81543528","L"
"17230","537  SEMINOLE DR  FAIRFIELD, Jefferson County, AL, 350641129","Match","Non_Exact","537 SEMINOLE DR, FAIRFIELD, AL, 35064","-86.92468198999995,33.471297133000064","81556031","L"
"18561","917  MCCLAIN RD  BESSEMER, Jefferson County, AL, 350235546","Match","Non_Exact","917 MCCLAIN RD, BESSEMER, AL, 35023","-87.06715692599994,33.484364388000074","81615154","L"
"17231","533  SEMINOLE DR  FAIRFIELD, Jefferson County, AL, 350641129","Match","Non_Exact","533 SEMINOLE DR, FAIRFIELD, AL, 35064","-86.92460110599995,33.471286629000076","81556031","L"
"18562","6745  WARRIOR RIVER RD  BESSEMER, Jefferson County, AL, 35023","Match","Non_Exact","6745 WARRIOR RIVER RD, BESSEMER, AL, 35023","-87.06697989299994,33.48079046700008","81543538","L"
"17232","529  SEMINOLE DR  FAIRFIELD, Jefferson County, AL, 350641129","Match","Non_Exact","529 SEMINOLE DR, FAIRFIELD, AL, 35064","-86.92452022299994,33.47127612400004","81556031","L"
"18563","6785  WARRIOR RIVER RD  BESSEMER, Jefferson County, AL, 350238001","Match","Non_Exact","6785 WARRIOR RIVER RD, BESSEMER, AL, 35023","-87.06848148199998,33.481080629000076","638587853","L"
"17237","408  CHURCH ST  FAIRFIELD, Jefferson County, AL, 350641714","Match","Non_Exact","408 CHURCH ST, FAIRFIELD, AL, 35064","-86.92570263899995,33.46917542600005","81556172","R"
"18568","110  VIOLA AVE  HUEYTOWN, Jefferson County, AL, 350232107","Match","Non_Exact","110 VIOLA AVE, BESSEMER, AL, 35023","-87.00700001299998,33.45453504200003","81546177","L"
"17238","425  FOREST DR  FAIRFIELD, Jefferson County, AL, 350641720","Match","Non_Exact","425 FOREST DR, FAIRFIELD, AL, 35064","-86.92663249499998,33.46864585900005","81556040","L"
"18569","109  LOUIS AVE  HUEYTOWN, Jefferson County, AL, 350232104","Match","Non_Exact","109 LOUIS AVE, BESSEMER, AL, 35023","-87.00590456899994,33.454199448000054","81769212","R"
"17239","433  FOREST DR  FAIRFIELD, Jefferson County, AL, 350641720","Match","Non_Exact","433 FOREST DR, FAIRFIELD, AL, 35064","-86.92687310999997,33.46839595700004","81556037","L"
"13760","4608  FIVE OAKS CIR  VESTAVIA, Jefferson County, AL, 352432620","Match","Non_Exact","4608 FIVE OAKS CIR, BIRMINGHAM, AL, 35243","-86.73360382999994,33.42363790500008","81585698","R"
"11108","1336  SUMAR CIR  BIRMINGHAM, Jefferson County, AL, 352131010","Match","Non_Exact","1336 SUMAR CIR, BIRMINGHAM, AL, 35213","-86.73730199299996,33.52384471400006","81580358","R"
"11107","1337  58TH ST S BIRMINGHAM, Jefferson County, AL, 352224131","Match","Non_Exact","1337 58TH ST S, BIRMINGHAM, AL, 35222","-86.74033110199997,33.52468959400005","81580330","L"
"12438","1108 E PARK DR  BIRMINGHAM, Jefferson County, AL, 352352560","No_Match"
"13769","1201  14TH AVE S BIRMINGHAM, Jefferson County, AL, 35205","Match","Non_Exact","1201 14TH AVE S, BIRMINGHAM, AL, 35205","-86.80690743699995,33.49363986100008","81576562","R"
"11109","1332  SUMAR CIR  BIRMINGHAM, Jefferson County, AL, 352131010","Match","Non_Exact","1332 SUMAR CIR, BIRMINGHAM, AL, 35213","-86.73734196299995,33.52384563100003","81580358","R"
"12439","1105 E PARK DR  BIRMINGHAM, Jefferson County, AL, 352352560","No_Match"
"11100","1409  SUNSHINE DR  BIRMINGHAM, Jefferson County, AL, 352131313","Tie"
"12432","849  BRAD DR  BIRMINGHAM, Jefferson County, AL, 352353001","Match","Non_Exact","849 BRAD DR, CENTER POINT, AL, 35235","-86.66726519099996,33.58561293200006","81588273","R"
"13763","2906  PAHOKEE TRCE  BIRMINGHAM, Jefferson County, AL, 352432628","Match","Non_Exact","2906 PAHOKEE TRCE, BIRMINGHAM, AL, 35243","-86.73453701799997,33.417410962000076","640552536","L"
"12433","805  GADSDEN HWY  BIRMINGHAM, Jefferson County, AL, 352353015","Match","Non_Exact","805 GADSDEN HWY, CENTER POINT, AL, 35235","-86.67069870199998,33.58358652000004","623863717","R"
"13764","4688  BRIDGEWATER RD  BIRMINGHAM, Jefferson County, AL, 352432606","Match","Non_Exact","4688 BRIDGEWATER RD, BIRMINGHAM, AL, 35243","-86.73147549699996,33.42057996400007","650647605","L"
